citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,pH,alcohol,quality
0.45,0.071,16,40,3.39,9.4,5
0.1,0.115,5,11,3.37,10.1,7
0.05,0.107,6,20,3.4,10.1,5
0.01,0.07,5,14,3.32,11,4
0.3,0.066,10,28,3.33,11.2,7
0.27,0.068,24,148,3.16,11.3,6
0.39,0.106,8,32,2.89,9.6,5
0.25,0.104,35,155,3.41,11.2,5
0.65,0.096,22,71,2.98,14.9,5
0.59,0.079,9,30,3.12,12,6
0.47,0.074,7,29,3.08,9.5,5
0.17,0.087,20,53,3.14,9.4,5
0.39,0.106,8,32,2.89,9.6,5
0.59,0.073,23,42,2.92,10.5,7
0.07,0.074,5,20,3.32,9.6,6
0.02,0.096,5,13,3.41,11,4
0.07,0.074,5,20,3.32,9.6,6
0.31,0.08,15,42,3.31,9,5
0.06,0.076,9,27,3.36,9.6,6
0.46,0.05,5,13,3.04,10.2,6
0.52,0.092,15,54,3.03,10.2,5
0.14,0.084,25,48,3.14,9.7,5
0.36,0.222,6,16,3.18,9.5,6
0.45,0.082,6,15,2.94,9.2,6
0.43,0.059,15,31,3.15,11,5
0.45,0.082,6,15,2.94,9.2,6
0.24,0.083,30,45,3.26,10,5
0.21,0.074,5,13,3.2,9.5,5
0.34,0.079,32,151,3.15,9.5,5
0.21,0.074,5,13,3.2,9.5,5
0.41,0.084,7,17,3.08,9.3,6
0.39,0.064,12,31,3.26,10.2,5
0.41,0.084,7,17,3.08,9.3,6
0.11,0.084,12,31,3.4,9.9,5
0.1,0.081,45,87,3.48,10,5
0.45,0.06,20,49,3.13,9.6,5
0.58,0.07,15,40,3.06,9,5
0.23,0.094,16,29,3.21,10.2,6
0.31,0.078,32,58,3.33,9.8,5
0.23,0.059,5,15,3.37,11.3,5
0.32,0.078,35,152,3.25,9.4,5
0.23,0.059,5,15,3.37,11.3,5
0.18,0.07,13,40,3.44,9.1,5
0.23,0.095,13,38,3.28,9.7,5
0.04,0.039,4,9,3.4,9.4,5
0.48,0.157,5,17,3.3,9.4,5
0,0.097,5,14,3.63,10.7,3
0.24,0.087,12,93,3.48,9.8,5
0.51,0.422,16,62,3.03,9,5
0.32,0.084,21,122,3.32,9.4,5
0.31,0.084,24,125,3.31,9.4,5
0.02,0.034,18,44,3.9,12.8,6
0.02,0.066,8,25,3.47,9.5,6
0.02,0.066,8,25,3.47,9.5,6
0.28,0.087,18,72,3.31,9.7,5
0.55,0.071,5,19,3.11,10.8,6
0.43,0.076,26,88,3.08,10.1,6
0.02,0.066,8,25,3.47,9.5,6
0.02,0.067,9,23,3.47,9.4,6
0.48,0.073,22,84,3.32,9.6,4
0.04,0.078,4,14,3.29,9.7,4
0.15,0.073,11,54,3.37,9.9,5
0.08,0.093,10,19,3.4,10,5
0.19,0.077,16,37,3.37,10.5,5
0.12,0.068,11,35,3.34,11.6,6
0.47,0.062,13,33,3.27,10,6
0.43,0.08,21,84,3.06,10.1,5
0.34,0.093,16,112,3.38,9.5,5
0,0.084,13,33,3.36,9.4,5
0.36,0.075,10,48,3.34,9.4,5
0.28,0.078,21,77,3.28,9.8,5
0.18,0.069,13,34,3.29,9.2,6
0.36,0.075,10,48,3.34,9.4,5
0.11,0.079,12,49,3.21,10,5
0.04,0.082,10,22,3.22,9.6,5
0,0.086,17,45,3.46,9.5,5
0.04,0.082,10,22,3.22,9.6,5
0.24,0.094,35,106,3.1,9.2,5
0.08,0.084,15,48,3.21,10,5
0.3,0.053,36,127,2.94,9.5,5
0.1,0.086,5,12,3.54,11.2,4
0.17,0.077,5,13,3.29,10.4,5
0.09,0.084,18,49,3.43,11.1,6
0.02,0.067,4,11,3.46,9.5,5
0.02,0.067,4,11,3.46,9.5,5
0.03,0.071,27,58,3.61,12.7,6
0.66,0.387,12,37,3.17,9.6,5
0.13,0.088,4,14,3.44,11.5,5
0.03,0.092,10,19,3.39,9.6,5
0.34,0.082,16,72,3.55,9.5,5
0.2,0.075,9,39,3.48,9.3,5
0.1,0.112,11,22,3.26,9.5,5
0.1,0.112,11,22,3.26,9.5,5
0,0.093,19,58,3.5,9.3,6
0.23,0.092,28,104,3.1,9.2,5
0,0.088,19,38,3.35,9.3,5
0.29,0.075,12,16,3.45,11.5,6
0.24,0.078,28,139,3.21,9.5,5
0,0.065,9,18,3.46,9.2,5
0.58,0.096,25,101,3.13,10,5
0.54,0.095,21,101,3.13,9.5,5
0.18,0.07,12,28,3.52,9.5,6
0.38,0.08,12,57,3.3,9,6
0.4,0.083,16,68,3.3,9.4,5
0.18,0.071,12,31,3.52,9.6,6
0.18,0.07,12,28,3.52,9.5,6
0.1,0.089,17,40,3.29,9.5,5
0.1,0.089,17,40,3.29,9.5,5
0.13,0.097,24,66,3.39,9.4,5
0.1,0.089,17,40,3.29,9.5,5
0.68,0.415,14,32,3.09,9.1,6
0.07,0.058,22,47,3.51,10.7,6
0.01,0.057,15,33,3.6,11.2,6
0,0.084,10,31,3.25,9.8,5
0,0.084,10,31,3.25,9.8,5
0.21,0.092,33,88,3.19,9.2,5
0.25,0.075,9,104,3.23,9.7,5
0.26,0.096,5,35,3.25,9.6,5
0,0.069,8,19,3.31,10,6
0.26,0.096,5,35,3.25,9.6,5
0.11,0.093,11,44,3.31,9.5,6
0.1,0.091,12,48,3.31,9.5,6
0.18,0.089,12,74,3.14,9.4,5
0.32,0.103,13,98,3.45,9.5,5
0.02,0.082,24,94,3.55,9.7,6
0.01,0.076,7,32,3.39,9.6,5
0.02,0.082,24,94,3.55,9.7,6
0.26,0.082,23,143,3.28,9.4,5
0.27,0.082,23,144,3.27,9.4,5
0.29,0.157,1,44,3.3,9.5,6
0.3,0.157,2,45,3.31,9.5,6
0,0.102,7,16,3.43,10,5
0.18,0.243,5.5,48,3.4,10.3,6
0.17,0.241,6,18,3.4,10.3,6
0.3,0.079,7,34,3.36,10.5,5
0.03,0.076,21,92,3.5,9.8,5
0,0.19,12,45,3.31,9.4,6
0.14,0.114,9,37,3.66,9.8,5
0.05,0.081,26,96,3.36,10,5
0.14,0.114,9,37,3.66,9.8,5
0.01,0.077,20,85,3.55,9.8,5
0.41,0.083,11,61,3.21,9.5,5
0.41,0.083,11,61,3.21,9.5,5
0.24,0.079,19,58,3.18,10.1,6
0.24,0.079,19,58,3.18,10.1,6
0.17,0.099,21,119,3.09,9.3,5
0.43,0.082,18,82,3.33,9.7,6
0.17,0.084,25,130,3.23,9.6,5
0.02,0.081,17,87,3.48,9.7,6
0,0.055,7,13,3.38,10.8,5
0.54,0.065,7,26,3.17,12.5,6
0.3,0.132,7,60,2.99,10.2,5
0.31,0.126,24,64,3.1,9.6,5
0.44,0.038,21,42,3.24,10.8,7
0.34,0.082,5,14,3.29,10.7,6
0.34,0.082,5,14,3.29,10.7,6
0.08,0.082,26,108,3.25,9.4,5
0.09,0.068,8,17,3.23,10,5
0,0.044,14,86,3.56,12.9,7
0.08,0.114,14,46,3.24,9.6,6
0.22,0.084,4,18,3.26,9.9,6
0.4,0.052,4,10,3.33,12.8,7
0.39,0.041,4,10,3.27,12.5,7
0.4,0.052,4,10,3.33,12.8,7
0.12,0.165,4,12,3.26,9.2,5
0.31,0.07,4,15,3.22,10.3,6
0.1,0.068,4,14,3.3,10.5,5
0.55,0.072,7,24,3.09,10.9,6
0.33,0.099,20,38,3.24,10.8,5
0.24,0.102,4,7,3.44,11.4,4
0.54,0.103,19,41,3.21,11.3,6
0.33,0.099,20,38,3.24,10.8,5
0.19,0.081,8,30,3.23,10.5,6
0.42,0.084,19,27,3.28,11.9,6
0,0.071,21,47,3.29,9.4,5
0.15,0.097,9,59,3.28,9.6,5
0,0.099,9,22,3.34,9.7,5
0,0.048,16,42,3.71,14,7
0.13,0.076,15,36,3.61,9.8,5
0.13,0.076,15,36,3.61,9.8,5
0.28,0.068,6,16,3.24,10.3,5
0.14,0.076,15,37,3.36,10.7,5
0.34,0.05,4,8,3.4,11,7
0.14,0.076,15,37,3.36,10.7,5
0.09,0.065,34,45,3.46,12.7,8
0.08,0.071,16,24,3.56,11.1,6
0.07,0.058,5,9,3.38,10.9,4
0.08,0.071,16,24,3.56,11.1,6
0.42,0.145,34,48,3.38,9.9,3
0.44,0.147,36,51,3.38,9.9,4
0.26,0.088,16,23,3.32,9.4,5
0.1,0.066,27,55,3.39,9.3,5
0.28,0.012,36,100,3.26,11.7,7
0.28,0.012,36,100,3.26,11.7,7
0.35,0.075,9,28,3.24,11.2,7
0.04,0.092,13,26,3.46,10,5
0.47,0.085,9,34,3.24,12.1,7
0,0.115,21,31,3.45,10.3,5
0.45,0.119,34,68,3.23,10.9,6
0.35,0.088,9,92,3.28,9.4,5
0.46,0.062,26,42,3.18,10.6,6
0.21,0.081,14,31,3.59,9.8,5
0.21,0.081,14,31,3.59,9.8,5
0.16,0.078,12,39,3.5,9.9,6
0.21,0.081,14,31,3.59,9.8,5
0.21,0.08,12,32,3.58,9.8,5
0.44,0.085,9,22,3.28,9.5,5
0.44,0.085,9,22,3.28,9.5,5
0.32,0.08,26,122,3.22,9.7,5
0.39,0.08,41,55,3.47,10.9,6
0.39,0.08,41,55,3.47,10.9,6
0.02,0.071,10,14,3.51,11.7,7
0.39,0.08,41,55,3.47,10.9,6
0.34,0.073,16,47,3.4,11.3,7
0.47,0.054,17,32,3.15,10.6,7
0.22,0.074,15,24,3.4,11.2,6
0.06,0.077,15,85,3.51,9.5,5
0.66,0.039,15,88,3.66,11.5,6
0.32,0.067,7,25,3.24,10.4,5
0.06,0.078,17,84,3.51,9.7,5
0.06,0.077,15,85,3.51,9.5,5
0.07,0.077,16,86,3.51,9.7,5
0.22,0.071,13,24,3.41,11.3,6
0.23,0.072,13,22,3.4,11.2,6
0.22,0.074,15,24,3.4,11.2,6
0.03,0.08,27,43,3.44,10.9,6
0.01,0.064,31,43,3.41,11.8,6
0.03,0.086,36,46,3.53,10.6,5
0.24,0.067,28,48,3.43,10,4
0.37,0.067,6,10,3.23,11.1,7
0.46,0.104,6,10,3.12,11.8,7
0.4,0.109,7,16,3.31,11.8,7
0,0.067,7,14,3.4,10.9,4
0.01,0.064,31,43,3.41,11.8,6
0.19,0.094,30,69,3.22,10,6
0.04,0.076,18,88,3.53,9.5,5
0.18,0.078,10,21,3.15,9.9,5
0,0.068,30,35,3.48,11.4,6
0.29,0.194,14,26,3.22,12,6
0.04,0.076,18,88,3.53,9.5,5
0.19,0.094,30,69,3.22,10,6
0.14,0.086,9,30,3.34,10.5,5
0.12,0.083,8,28,3.33,10.4,6
0.38,0.066,29,56,3.15,12.1,7
0,0.072,32,64,3.43,11.2,6
0.34,0.112,23,99,3.22,9.3,5
0.24,0.071,30,52,3.44,10.1,5
0.03,0.078,16,86,3.53,9.7,5
0.23,0.082,10,18,3.22,9.3,6
0.03,0.078,16,86,3.53,9.7,5
0.03,0.08,17,88,3.53,9.8,6
0.01,0.08,27,43,3.42,10.7,6
0.39,0.078,17,43,3.31,12.5,7
0.01,0.08,27,43,3.42,10.7,6
0.39,0.078,17,43,3.31,12.5,7
0.02,0.084,6,11,3.48,11,3
0.36,0.056,10,39,3.4,11.8,5
0.1,0.08,16,33,3.58,10.8,7
0.1,0.08,16,33,3.58,10.8,7
0.06,0.06,11,18,3.41,10.8,7
0.06,0.06,11,18,3.41,10.8,7
0.2,0.081,15,115,3.23,9.5,5
0.27,0.084,12,78,3.39,11,5
0,0.079,6,9,3.59,11.5,6
0.13,0.078,34,61,3.43,10.8,6
0.39,0.059,7,11,3.29,11.5,6
0.48,0.132,3,11,3.23,13.2,6
0.46,0.114,3,9,3.18,10.9,6
0.44,0.065,4,8,3.33,12.2,6
0.46,0.094,3,10,3.27,12.2,7
0.39,0.059,7,11,3.29,11.5,6
0.4,0.079,3,6,3.27,11.9,6
0.19,0.161,7,62,3.62,11,5
0.31,0.084,26,45,3.38,10.1,6
0.32,0.081,32,79,3.3,11,6
0.12,0.072,38,46,3.38,11.8,6
0.37,0.091,10,23,3.24,10.5,5
0.32,0.081,32,79,3.3,11,6
0.12,0.072,38,46,3.38,11.8,6
0.31,0.084,26,45,3.38,10.1,6
0.27,0.055,14,28,3.18,11.2,5
0.36,0.064,53,77,3.47,11,7
0.33,0.061,52,73,3.47,10.2,6
0.19,0.093,11,75,3.2,9.2,4
0.27,0.055,14,28,3.18,11.2,5
0.38,0.063,10,19,3.3,12,7
0.01,0.08,8,25,3.69,10.5,5
0.01,0.074,13,38,3.48,9.8,5
0.29,0.078,29,66,3.45,9.5,6
0.01,0.074,13,38,3.48,9.8,5
0.01,0.08,8,25,3.69,10.5,5
0.38,0.06,19,72,3.39,11.8,6
0.38,0.06,19,72,3.39,11.8,6
0.5,0.071,6,26,3.07,10.4,4
0.38,0.068,23,42,3.34,12.9,7
0.17,0.073,7,11,3.61,11.4,5
0.52,0.074,13,25,3.36,12.4,7
0.49,0.082,9,17,3.19,12.5,7
0.4,0.092,13,52,3.22,10,7
0.34,0.094,10,45,3.24,9.7,7
0.49,0.09,11,24,3.27,12.1,7
0.42,0.071,7,20,3.14,11.1,7
0.58,0.092,11,24,3.29,12,7
0.48,0.093,6,12,3.26,12.4,7
0.45,0.075,10,21,3.41,11.9,7
0.45,0.075,10,21,3.41,11.9,7
0.45,0.075,10,21,3.41,11.9,7
0.48,0.093,6,12,3.26,12.4,7
0.4,0.058,6,10,3.31,11.2,7
0.48,0.052,5,9,3.2,12.1,7
0.4,0.082,6,11,3.44,12.2,6
0.52,0.09,9,23,3.36,10.4,5
0.52,0.111,5,10,3.31,11.3,6
0.52,0.088,12,51,3.29,11.1,6
0.12,0.12,25,36,3.47,11.3,7
0.05,0.089,12,32,3.36,10,5
0.27,0.058,18,38,3.16,11.1,6
0.14,0.078,7,18,3.27,9.3,5
0.02,0.115,6,16,3.38,9.5,5
0.39,0.1,20,27,3.15,11.2,6
0.27,0.058,18,38,3.16,11.1,6
0.4,0.065,24,48,3.34,11,6
0.41,0.103,6,10,3.13,11.9,7
0.2,0.097,23,113,3.13,9.2,5
0.43,0.068,29,46,3.2,12.2,6
0.09,0.079,7,22,3.46,10.2,5
0.48,0.066,6,10,3.33,10.9,6
0.48,0.066,6,10,3.33,10.9,6
0.5,0.104,6,13,3.22,11.6,7
0.44,0.079,6,12,3.52,10.7,5
0.41,0.073,7,13,3.3,12.1,7
0.3,0.083,35,72,3.44,9.4,5
0.3,0.083,35,72,3.44,9.4,5
0.29,0.109,31,119,3.15,9.1,5
0.32,0.061,9,29,3.28,11.3,7
0.49,0.075,3,6,3.13,10.4,5
0.3,0.065,8,17,3.32,10.5,6
0.26,0.079,13,28,3.25,10,5
0.32,0.07,51,70,3.34,12.9,6
0.3,0.065,8,17,3.32,10.5,6
0.49,0.075,3,6,3.13,10.4,5
0,0.064,7,11,3.45,11.3,6
0.39,0.066,3,7,3.19,11.4,7
0.3,0.08,35,70,3.44,9.4,5
0.12,0.097,19,27,3.16,9.4,5
0.4,0.073,14,21,3.14,10.9,6
0.12,0.097,19,27,3.16,9.4,5
0.28,0.082,31,68,3.45,9.4,5
0.1,0.076,30,47,3.36,9.4,6
0.28,0.082,31,68,3.45,9.4,5
0.45,0.092,20,88,3.15,9.4,5
0.06,0.079,19,41,3.39,10.1,6
0,0.087,3,11,3.71,12.8,7
0,0.087,3,11,3.71,12.8,7
0.34,0.05,4,10,3.12,9.1,6
0,0.055,7,12,3.47,12.9,6
0.3,0.062,6,12,3.44,11.5,7
0.38,0.058,31,47,3.26,10.6,7
0.33,0.063,13,27,3.26,11.7,7
0.32,0.067,4,8,3.36,12.8,7
0.29,0.081,27,45,3.25,10.3,5
0.32,0.067,4,8,3.36,12.8,7
0.33,0.063,13,27,3.26,11.7,7
0.34,0.064,12,25,3.26,11.7,7
0.4,0.11,12,24,3.23,12,7
0.36,0.116,26,55,3.18,10.9,5
0.45,0.067,7,12,3.25,12.3,7
0.31,0.088,12,19,3.17,10.4,6
0.15,0.102,11,32,3.23,10,5
0,0.092,22,31,3.38,10,6
0.16,0.12,3,7,3.22,11.2,6
0.46,0.075,14,27,3.06,11.4,6
0.4,0.068,12,28,3.27,12.6,7
0.37,0.049,36,109,2.89,12.7,6
0.37,0.049,36,109,2.89,12.7,6
0.14,0.078,10,23,3.53,10.4,5
0.66,0.123,3,8,3.2,11.9,6
0.66,0.123,3,8,3.2,11.9,6
0.09,0.062,4,9,3.35,10.5,5
0.42,0.098,3,9,3.27,12.3,6
0.01,0.088,12,18,3.32,10.5,7
0,0.095,17,43,3.33,10.4,6
0.32,0.066,14,36,3.41,12.6,6
0,0.065,28,52,3.49,11.6,5
0.21,0.075,41,68,3.37,10.1,6
0.01,0.088,12,18,3.32,10.5,7
0,0.091,9,14,3.42,11.5,7
0.01,0.093,9,15,3.35,11,7
0,0.095,5,14,3.36,9.6,5
0.08,0.089,14,27,3.3,10.4,6
0.18,0.077,15,48,3.2,9.7,6
0.34,0.085,5,17,3.17,10.6,7
0.34,0.082,26,35,3.22,12.5,7
0.1,0.074,20,56,3.35,9.2,5
0.41,0.078,25,42,3.24,12.6,7
0.21,0.088,21,39,3.33,11.1,6
0,0.088,16,32,3.58,10.2,5
0.19,0.079,13,26,3.38,9.8,6
0.21,0.088,21,39,3.33,11.1,6
0.41,0.069,18,39,3.29,10.9,7
0.33,0.046,12,53,3.36,12.2,6
0,0.07,32,38,3.32,11.4,6
0,0.076,33,45,3.31,10.7,6
0.17,0.082,27,51,3.49,10.4,5
0.36,0.081,3,14,3.27,10.9,6
0.36,0.084,6,17,3.27,10.8,6
0.17,0.082,27,51,3.49,10.4,5
0.59,0.414,16,45,3.03,9.2,5
0.05,0.073,19,25,3.56,12.9,5
0.42,0.07,9,20,3.38,12.7,7
0.27,0.095,5,77,3.13,9.1,6
0.27,0.095,5,77,3.13,9.1,6
0.53,0.101,3,10,3.21,12.1,7
0.25,0.104,28,90,3.15,9.1,5
0.57,0.093,30,52,3.19,11.6,7
0.53,0.101,3,10,3.21,12.1,7
0.57,0.074,3,8,3.14,9.9,6
0.5,0.071,7,16,3.21,12.5,8
0.44,0.098,6,15,3.3,11.4,6
0.65,0.075,6,17,3.22,11.8,6
0.09,0.067,5,10,3.28,11.8,6
0.18,0.083,6,20,3.29,10.2,6
0.08,0.07,13,26,3.4,12.5,7
0.53,0.06,3,10,3.02,10.9,7
0.53,0.06,3,10,3.02,10.9,7
0.35,0.086,28,52,3.31,10.8,5
0.45,0.057,19,37,3.18,11.1,7
0.2,0.098,30,92,3.2,9.2,5
0.26,0.083,33,75,3.4,9.5,6
0.33,0.088,16,37,3.31,10.7,6
0.2,0.098,30,92,3.2,9.2,5
0.34,0.071,45,67,3.44,10.2,7
0.56,0.073,3,8,3.15,11.4,6
0.65,0.08,3,8,3.27,11,5
0.65,0.08,3,8,3.27,11,5
0.68,0.05,37.5,278,3.01,12.3,7
0.56,0.047,3,8,3.16,11.8,6
0.68,0.05,37.5,289,3.01,12.3,7
0.3,0.073,31,70,3.42,9.5,6
0.45,0.072,32,59,3.33,12,6
0.3,0.073,31,70,3.42,9.5,6
0.08,0.074,40,64,3.12,9.6,5
0.4,0.055,3,9,3.38,11.6,7
0.42,0.057,18,30,3.29,11.2,6
0.54,0.095,22,41,3.02,9.9,7
0.54,0.095,22,41,3.02,9.9,7
0.54,0.083,42,74,2.98,11.8,8
0.42,0.086,8,19,3.35,11.4,6
0.09,0.081,10,16,3.43,11.5,6
0.36,0.079,11,31,3.33,12,7
0.09,0.117,9,17,3.35,10.8,6
0.47,0.087,6,20,3.15,10.5,5
0.09,0.117,9,17,3.35,10.8,6
0.38,0.096,5,18,3.2,9.4,5
0.45,0.216,5,16,3.15,12.5,7
0.38,0.096,5,18,3.2,9.4,5
0.42,0.072,23,36,3.11,12.4,6
0.27,0.071,14,25,3.35,12,6
0.09,0.078,18,30,3.45,11.2,6
0.27,0.071,14,25,3.35,12,6
0.34,0.073,16,25,3.28,12.4,6
0.28,0.048,13,49,3.41,12.8,5
0.42,0.069,9,17,3.21,12.3,6
0.41,0.068,10,24,3.27,11.7,7
0.1,0.09,4,13,3.36,9.5,5
0.43,0.171,27,66,3.17,10.8,6
0,0.07,6,14,3.25,10,6
0.27,0.092,23,55,3.78,12.3,7
0.41,0.056,6,35,3.29,11,6
0.39,0.074,3,10,3.12,9.5,6
0.5,0.046,29,80,3.49,13.6,6
0.07,0.091,15,21,3.38,11.3,6
0.07,0.091,15,21,3.38,11.3,6
0.07,0.091,15,21,3.38,11.3,6
0.12,0.065,14,24,3.3,13.3,6
0,0.066,7,15,3.52,12.9,5
0.34,0.076,8,17,3.2,13.1,8
0,0.062,21,28,3.44,12.3,6
0,0.055,27,33,3.45,12.3,6
0.37,0.081,17,29,3.12,11.2,6
0,0.096,3,13,3.62,11.5,4
0.35,0.055,13,27,3.14,11.3,7
0.26,0.063,3,11,3.39,13.5,6
0,0.072,26,52,3.51,11.5,6
0.33,0.095,28,89,3.22,10,5
0.35,0.092,24,70,3.21,10.5,6
0,0.058,5,10,3.18,10.4,6
0.21,0.045,57,135,3.32,9.5,5
0.34,0.075,18,38,3.38,13.6,7
0.07,0.089,10,18,3.37,11.2,7
0.35,0.061,6,15,3.3,11.8,7
0.43,0.067,22,50,3.38,11.9,6
0.45,0.08,6,13,3.22,11.4,6
0.45,0.08,6,13,3.22,11.4,6
0.15,0.104,29,94,3.14,9.1,5
0.24,0.079,16,86,3.34,9.5,6
0.3,0.08,33,79,3.41,9.5,6
0.32,0.08,24,71,3.27,11,6
0.11,0.043,6,12,3.3,11.4,6
0.3,0.065,16,20,3.61,10,6
0.23,0.066,35,70,3.43,10.1,5
0.43,0.076,31,51,3.53,10.4,6
0.12,0.178,6,21,3.28,9.8,6
0.45,0.071,6,14,3.21,11.8,7
0.42,0.086,9,21,3.39,11.6,6
0.47,0.061,6,11,3.23,12,6
0.32,0.067,4,12,3.3,12.8,7
0.23,0.044,16,70,3.46,12.5,6
0.25,0.118,9,38,3.15,9.8,5
0.35,0.083,17,38,3.23,11.1,6
0,0.1,50,63,3.59,11.4,6
0.25,0.118,9,38,3.15,9.8,5
0.51,0.071,45,88,3.33,11.8,7
0.18,0.042,16,101,3.46,12.9,7
0.43,0.076,22,54,3.42,10.6,6
0.43,0.11,11,37,3.16,10.8,5
0.57,0.087,6,20,3.14,11.1,7
0.43,0.076,12,21,3.21,10.2,6
0.42,0.075,12,19,3.14,11.8,7
0.24,0.078,10,21,3.29,10,5
0.24,0.078,10,21,3.29,10,5
0.5,0.369,15,38,3.01,9.4,5
0.26,0.111,7,60,2.94,10.2,5
0.39,0.074,29,48,3.32,12.4,7
0.27,0.067,8,44,3.21,12,6
0.29,0.086,5,14,3.32,11.5,6
0.34,0.062,5,12,3.2,10.5,6
0,0.078,26,44,3.42,10.8,6
0.46,0.074,5,16,3.27,12.3,6
0.31,0.079,26,65,3.46,9.5,6
0.31,0.079,26,65,3.46,9.5,6
0,0.095,48,59,3.61,11.5,6
0.03,0.079,23,47,3.58,11.2,4
0,0.052,6,11,3.35,12.7,7
0,0.041,17,78,3.68,11.4,5
0.33,0.076,11,47,3.27,11,6
0.33,0.076,11,47,3.27,11,6
0.43,0.068,5,11,3.19,11.4,5
0.4,0.068,41,54,3.38,10.5,6
0.07,0.07,16,61,3.29,9.3,5
0.23,0.08,11,119,3.36,10.9,5
0.3,0.085,6,39,3.33,11.9,6
0.03,0.079,6,12,3.52,12.2,5
0.3,0.085,6,39,3.33,11.9,6
0.23,0.08,11,119,3.36,10.9,5
0.05,0.075,5,19,3.3,9.6,4
0.57,0.08,6,20,3.28,12.5,6
0,0.166,6,12,3.56,10.8,5
0.37,0.063,11,41,3.52,12.4,7
0,0.166,6,12,3.56,10.8,5
0.12,0.114,15,64,3.22,9.5,6
0.22,0.078,21,56,3.52,9.5,6
0.23,0.076,23,94,3.21,9.5,6
0.21,0.069,4,9,3.16,9.8,6
0.26,0.052,19,77,3.15,10.9,6
0.23,0.076,23,94,3.21,9.5,6
0.21,0.069,4,9,3.16,9.8,6
0.36,0.065,5,10,3.27,11.2,7
0.39,0.068,6,12,3.35,11.7,8
0.19,0.111,33,76,3.14,9.4,5
0.46,0.074,24,44,3.4,11,7
0.46,0.074,24,44,3.4,11,7
0.46,0.074,24,44,3.4,11,7
0.55,0.136,24,52,3.35,10,5
0.46,0.074,24,44,3.4,11,7
0.43,0.071,14,24,3.45,11.2,7
0.02,0.078,8,15,3.35,10.4,6
0.15,0.076,22,53,3.32,9.3,5
0.02,0.078,8,15,3.35,10.4,6
0.42,0.071,5,13,3.15,10.5,6
0.46,0.081,6,9,3.1,10.4,6
0.46,0.095,20,29,3.26,11.3,6
0.31,0.079,10,79,3.29,9.5,6
0.37,0.057,43,74,3.23,12,6
0.31,0.082,8,24,3.24,10.6,6
0.4,0.044,25,50,3.2,10.9,6
0.52,0.132,17,44,3.28,11.5,6
0.52,0.132,17,44,3.28,11.5,6
0.22,0.078,33,89,3.26,9.6,6
0.47,0.074,9,23,3.23,12,6
0.49,0.08,8,20,3.07,10.3,6
0.23,0.091,18,77,3.15,9.4,5
0.03,0.08,27,46,3.02,9.2,5
0.25,0.104,8,21,3.27,9.6,5
0,0.044,18,88,3.68,13.6,7
0.29,0.075,19,66,3.4,9.5,5
0.34,0.066,15,58,3.37,11.8,6
0.01,0.074,48,90,3.38,10.8,5
0.29,0.075,19,66,3.4,9.5,5
0.37,0.057,14,36,3.23,9.3,4
0.01,0.059,11,18,3.39,12.8,6
0.32,0.054,6,113,3.3,11.5,4
0,0.07,7,17,3.26,9.4,6
0.01,0.059,11,18,3.39,12.8,6
0,0.081,12,24,3.38,9.6,4
0,0.057,11,20,3.45,11.8,4
0.2,0.076,36,60,3.1,9.3,5
0.39,0.079,28,65,3.16,9.8,5
0.41,0.058,15,40,3.22,12.2,6
0.22,0.082,10,86,3.37,9.5,5
0.25,0.067,72,160,3.33,10.3,6
0.19,0.082,15,34,3.49,10.5,5
0.07,0.086,15,48,3.12,10,5
0.19,0.082,15,34,3.49,10.5,5
0.33,0.081,22,36,3.41,11.1,6
0.01,0.079,24,37,3.4,10.9,6
0.01,0.079,24,37,3.4,10.9,6
0.14,0.077,27,60,3.28,9.8,5
0,0.123,6,14,3.45,9.8,5
0,0.096,6,13,3.43,9.5,5
0.06,0.079,20,35,3.4,10.9,5
0.02,0.069,26,46,3.47,11,5
0.22,0.082,43,60,3.1,9.2,5
0.28,0.085,12,69,3.32,11,6
0,0.123,15,33,3.44,11.3,6
0,0.123,15,33,3.44,11.3,6
0.68,0.403,19,56,3.02,9.3,5
0,0.083,17,24,3.59,11.2,4
0.38,0.081,34,66,3.15,9.8,5
0,0.089,13,26,3.37,9.6,4
0.32,0.066,26,51,3.38,11.8,6
0.05,0.081,16,36,3.38,10.3,6
0.05,0.081,16,36,3.38,10.3,6
0.5,0.068,13,19,3.1,11.4,6
0.31,0.079,21,51,3.47,9.5,6
0.03,0.044,28,87,3.5,14,8
0.01,0.048,26,60,3.7,14,6
0.2,0.049,24,64,3.38,11.7,6
0,0.077,25,44,3.5,11.2,5
0.2,0.073,34,44,3.1,9.3,5
0.13,0.102,17,36,3.24,11.2,6
0.22,0.075,13,81,3.24,9.5,6
0.4,0.05,3,10,3.28,12,4
0,0.114,3,10,3.35,9.7,6
0.22,0.075,13,81,3.24,9.5,6
0.39,0.062,3,9,3.14,11.5,7
0.2,0.077,28,54,3.37,10.4,6
0.2,0.077,28,54,3.37,10.4,6
0,0.084,9,22,3.33,10.9,6
0.28,0.096,17,69,3.26,10.2,6
0.19,0.071,18,36,3.39,10.9,5
0.5,0.09,20,47,3.15,10.5,5
0.44,0.068,17,31,3.35,12.4,6
0.08,0.056,3,7,3.22,13,5
0.3,0.068,20,110,3.3,10.2,5
0.3,0.068,20,110,3.3,10.2,5
